path,transcription,action,object,location
wavs/speakers/ObdQbr9wyDfbmW4E/13318410-4452-11e9-beaa-1f3e1eab7bff.wav,Bedroom heat up,increase,heat,bedroom
wavs/speakers/Gym5dABePPHA8mZK9/52d82550-45f2-11e9-aa19-e96346c3828f.wav,Bring me my shoes,bring,shoes,none
wavs/speakers/R3mXwwoaX9IoRVKe/e1c84e70-454d-11e9-aa52-bf2189a03a60.wav,Decrease the temperature in the bathroom,decrease,heat,washroom
wavs/speakers/AvR9dePW88IynbaE/36ebd2e0-4522-11e9-a843-8db76f4b5e29.wav,Turn the volume up,increase,volume,none
wavs/speakers/xRQE5VD7rRHVdyvM/b2c33710-45c6-11e9-8ec0-7bf21d1cfe30.wav,Get me the newspaper,bring,newspaper,none
wavs/speakers/gvKeNY2D3Rs2jRdL/6289ea40-4595-11e9-9600-8f19ade2128c.wav,I can't hear that,increase,volume,none
wavs/speakers/oXjpaOq4wVUezb3x/3f0c6140-4510-11e9-9539-7f047cfe24d1.wav,Set language to Chinese,change language,Chinese,none
wavs/speakers/jgxq52DoPpsR9ZRx/42234f20-4519-11e9-9035-7943ec3b842a.wav,Fetch my socks,bring,socks,none
wavs/speakers/xwzgmmv5ZOiVaxXz/d8570780-453b-11e9-b1e4-e5985dca719e.wav,Washroom heat up,increase,heat,washroom
wavs/speakers/AvR9dePW88IynbaE/83eb20a0-4522-11e9-a843-8db76f4b5e29.wav,Switch on the kitchen lights,activate,lights,kitchen
wavs/speakers/n5XllaB4gZFwZXkBz/6dba0320-45f2-11e9-aa19-e96346c3828f.wav,Turn the lamp off,deactivate,lamp,none
wavs/speakers/R3mXwwoaX9IoRVKe/e0454a30-4548-11e9-aa52-bf2189a03a60.wav,Kitchen lights off,deactivate,lights,kitchen
wavs/speakers/zaEBPeMY4NUbDnZy/a3076f40-44df-11e9-a8b6-e96f2628bf65.wav,Change system language,change language,none,none
wavs/speakers/mor8vDGkaOHzLLWBp/ba249060-4541-11e9-b1e4-e5985dca719e.wav,Turn down the heat in the bathroom,decrease,heat,washroom
wavs/speakers/W7LeKXje7QhZlLKe/107491d0-4561-11e9-9600-8f19ade2128c.wav,Switch the bedroom lights on,activate,lights,bedroom
wavs/speakers/AvR9dePW88IynbaE/08eed290-4520-11e9-a843-8db76f4b5e29.wav,Lights off in the kitchen,deactivate,lights,kitchen
wavs/speakers/qNY4Qwveojc8jlm4/586a5240-44d0-11e9-a8b6-e96f2628bf65.wav,Increase the heating,increase,heat,none
wavs/speakers/ppzZqYxGkESMdA5Az/c5a1a130-4474-11e9-a9a5-5dbec3b8816a.wav,Turn the lights off in the kitchen,deactivate,lights,kitchen
wavs/speakers/W4XOzzNEbrtZz4dW/c41222c0-44d0-11e9-a8b6-e96f2628bf65.wav,Decrease the temperature in the washroom,decrease,heat,washroom
wavs/speakers/52XVOeXMXYuaElyw/36495ed0-45c6-11e9-8ec0-7bf21d1cfe30.wav,Lights on in the bathroom,activate,lights,washroom
wavs/speakers/xwzgmmv5ZOiVaxXz/3b2677e0-4539-11e9-b1e4-e5985dca719e.wav,Bring socks,bring,socks,none
wavs/speakers/EExgNZ9dvgTE3928/0c688160-460f-11e9-bc65-55b32b211b66.wav,Make the music louder,increase,volume,none
wavs/speakers/zZezMeg5XvcbRdg3/a1c59830-45d6-11e9-81ce-69b74fd7e64e.wav,"It’s too loud, turn it down",decrease,volume,none
wavs/speakers/oRrwPDNPlAieQr8Q/9656f150-4519-11e9-9035-7943ec3b842a.wav,"I need to hear this, increase the volume",increase,volume,none
wavs/speakers/Rq9EA8dEeZcEwada2/000c6f00-45db-11e9-81ce-69b74fd7e64e.wav,Make the music louder,increase,volume,none
wavs/speakers/Gym5dABePPHA8mZK9/cf106810-45ef-11e9-aa19-e96346c3828f.wav,Bring shoes,bring,shoes,none
wavs/speakers/ZebMRl5Z7dhrPKRD/3b8501e0-4555-11e9-aa52-bf2189a03a60.wav,Switch off the washroom lights,deactivate,lights,washroom
wavs/speakers/mor8vDGkaOHzLLWBp/48d1ca90-4541-11e9-b1e4-e5985dca719e.wav,Turn the bedroom heat up,increase,heat,bedroom
wavs/speakers/W4XOzzNEbrtZz4dW/6d77a7d0-44d2-11e9-a8b6-e96f2628bf65.wav,Louder phone,increase,volume,none
wavs/speakers/9EWlVBQo9rtqRYdy/8fc43630-45ec-11e9-aa19-e96346c3828f.wav,Switch off the lights in the kitchen,deactivate,lights,kitchen
wavs/speakers/oXjpaOq4wVUezb3x/1a202110-450f-11e9-9539-7f047cfe24d1.wav,"It’s too loud, turn the volume down",decrease,volume,none
wavs/speakers/M4ybygBlWqImBn9oZ/7146ecf0-454e-11e9-aa52-bf2189a03a60.wav,Make it louder,increase,volume,none
wavs/speakers/Rq9EA8dEeZcEwada2/84fd06c0-45db-11e9-81ce-69b74fd7e64e.wav,Lights on in the bathroom,activate,lights,washroom
wavs/speakers/kxgXN97ALmHbaezp/54ff3d70-4465-11e9-beaa-1f3e1eab7bff.wav,Turn up the heat in the washroom,increase,heat,washroom
wavs/speakers/35v28XaVEns4WXOv/049f81a0-449c-11e9-a9a5-5dbec3b8816a.wav,Change language,change language,none,none
wavs/speakers/n5XllaB4gZFwZXkBz/f3231bb0-45f1-11e9-aa19-e96346c3828f.wav,Turn off the lights,deactivate,lights,none
wavs/speakers/YbmvamEWQ8faDPx2/74487440-45ea-11e9-b578-494a5b19ab8b.wav,Louder,increase,volume,none
wavs/speakers/ro5AaKwypZIqNEp2/5a007480-4481-11e9-a9a5-5dbec3b8816a.wav,Change the language,change language,none,none
wavs/speakers/anvKyBjB5OiP5dYZ/019e62a0-4578-11e9-9600-8f19ade2128c.wav,Switch the language,change language,none,none
wavs/speakers/EExgNZ9dvgTE3928/5c149840-4612-11e9-bc65-55b32b211b66.wav,Turn off the music,deactivate,music,none
wavs/speakers/kxgXN97ALmHbaezp/f1be7500-4464-11e9-beaa-1f3e1eab7bff.wav,Turn sound down,decrease,volume,none
wavs/speakers/7NEaXjeLX3sg3yDB/7aa02f20-454c-11e9-aa52-bf2189a03a60.wav,Bring the newspaper,bring,newspaper,none
wavs/speakers/zaEBPeMY4NUbDnZy/856a4960-44dc-11e9-a8b6-e96f2628bf65.wav,Turn up the temperature in the kitchen,increase,heat,kitchen
wavs/speakers/qNY4Qwveojc8jlm4/6542e540-44d0-11e9-a8b6-e96f2628bf65.wav,Turn the kitchen temperature up,increase,heat,kitchen
wavs/speakers/8e5qRjN7dGuovkRY/a0bc6b90-4594-11e9-9600-8f19ade2128c.wav,Kitchen lights off,deactivate,lights,kitchen
wavs/speakers/gvKeNY2D3Rs2jRdL/479d6bd0-459a-11e9-bf4b-216bfa333ac2.wav,Turn down the heat in the bathroom,decrease,heat,washroom
wavs/speakers/Xygv5loxdZtrywr9/d003b3b0-4529-11e9-a843-8db76f4b5e29.wav,Turn the temperature down,decrease,heat,none
wavs/speakers/R3mexpM2YAtdPbL7/b89c5340-4500-11e9-a1ea-79ca03012c0e.wav,Get me my shoes,bring,shoes,none
wavs/speakers/35v28XaVEns4WXOv/535ad310-44a3-11e9-a9a5-5dbec3b8816a.wav,Go get me my shoes,bring,shoes,none
wavs/speakers/G3QxQd7qGRuXAZda/fc9f0fd0-45e9-11e9-b578-494a5b19ab8b.wav,Bring the newspaper,bring,newspaper,none
wavs/speakers/2ojo7YRL7Gck83Z3/f95c41e0-45de-11e9-81ce-69b74fd7e64e.wav,Switch the lights off in the kitchen,deactivate,lights,kitchen
wavs/speakers/BvyakyrDmQfWEABb/e14319d0-4606-11e9-bc65-55b32b211b66.wav,Turn the lights on,activate,lights,none
wavs/speakers/ppzZqYxGkESMdA5Az/4c4ed280-4474-11e9-a9a5-5dbec3b8816a.wav,Turn off the music,deactivate,music,none
wavs/speakers/5o9BvRGEGvhaeBwA/f1583050-44ec-11e9-a1ea-79ca03012c0e.wav,Lights off in the washroom,deactivate,lights,washroom
wavs/speakers/mor8vDGkaOHzLLWBp/92a505b0-4541-11e9-b1e4-e5985dca719e.wav,Turn down the temperature in the bedroom,decrease,heat,bedroom
wavs/speakers/oRrwPDNPlAieQr8Q/9a40d180-4520-11e9-a843-8db76f4b5e29.wav,"It’s too loud, turn the volume down",decrease,volume,none
wavs/speakers/kNnmb7MdArswxLYw/4ba3db70-45f3-11e9-aa19-e96346c3828f.wav,Volume lower,decrease,volume,none
wavs/speakers/Gym5dABePPHA8mZK9/452b32b0-45ef-11e9-aa19-e96346c3828f.wav,Increase the heating in the bathroom,increase,heat,washroom
wavs/speakers/R3mexpM2YAtdPbL7/f640c230-44fb-11e9-a1ea-79ca03012c0e.wav,Turn on the bathroom lights,activate,lights,washroom
wavs/speakers/ZebMRl5Z7dhrPKRD/5d194700-4562-11e9-9600-8f19ade2128c.wav,Decrease the temperature in the kitchen,decrease,heat,kitchen
wavs/speakers/anvKyBjB5OiP5dYZ/56fc2260-4577-11e9-9600-8f19ade2128c.wav,Increase the heating in the bathroom,increase,heat,washroom
wavs/speakers/Xygv5loxdZtrywr9/5e8aff10-4518-11e9-9035-7943ec3b842a.wav,Switch off the lamp,deactivate,lamp,none
wavs/speakers/Rq9EA8dEeZcEwada2/d6952fd0-45d6-11e9-81ce-69b74fd7e64e.wav,Turn the lights on,activate,lights,none
wavs/speakers/52XVOeXMXYuaElyw/8b6dfb40-45c7-11e9-8ec0-7bf21d1cfe30.wav,Decrease the temperature in the washroom,decrease,heat,washroom
wavs/speakers/DMApMRmGq5hjkyvX/48bb91f0-45da-11e9-81ce-69b74fd7e64e.wav,OK now switch the main language to English,change language,English,none
wavs/speakers/AvR9dePW88IynbaE/f5c82c70-451f-11e9-a843-8db76f4b5e29.wav,Bathroom lights on,activate,lights,washroom
wavs/speakers/eLQ3mNg27GHLkDej/e31693a0-453d-11e9-b1e4-e5985dca719e.wav,Could you decrease the heating?,decrease,heat,none
wavs/speakers/xPZw23VxroC3N34k/1056f0f0-450f-11e9-9539-7f047cfe24d1.wav,Kitchen heat up,increase,heat,kitchen
wavs/speakers/AvR9dePW88IynbaE/075f9520-4522-11e9-a843-8db76f4b5e29.wav,I need to practice my Korean. Switch the language,change language,Korean,none
wavs/speakers/d2waAp3pEjiWgrDEY/2ef1daf0-4516-11e9-9035-7943ec3b842a.wav,Set language to Korean,change language,Korean,none
wavs/speakers/kNnmb7MdArswxLYw/d9578220-45ec-11e9-aa19-e96346c3828f.wav,Turn on the washroom lights,activate,lights,washroom
wavs/speakers/2BqVo8kVB2Skwgyb/7017e0b0-447b-11e9-a9a5-5dbec3b8816a.wav,Turn the heat up,increase,heat,none
wavs/speakers/ppzZqYxGkESMdA5Az/0af22ca0-4470-11e9-a9a5-5dbec3b8816a.wav,Washroom lights on,activate,lights,washroom
wavs/speakers/DMApMRmGq5hjkyvX/22b9ff40-45db-11e9-81ce-69b74fd7e64e.wav,Switch off the washroom lights,deactivate,lights,washroom
wavs/speakers/kNnmb7MdArswxLYw/defdf8b0-45ee-11e9-aa19-e96346c3828f.wav,Go get me my socks,bring,socks,none
wavs/speakers/neaPN7GbBEUex8rV/5d039550-45d4-11e9-9992-dfba019cb646.wav,Switch on the kitchen lights,activate,lights,kitchen
wavs/speakers/RjDBre8jzzhdr4YL/7c31d9e0-4413-11e9-85a0-dd11eb2f13b6.wav,Turn sound down,decrease,volume,none
wavs/speakers/n5XllaB4gZFwZXkBz/5bf68490-45f4-11e9-aa19-e96346c3828f.wav,Turn the bedroom heat down,decrease,heat,bedroom
wavs/speakers/n5XllaB4gZFwZXkBz/86f7ff80-45f3-11e9-aa19-e96346c3828f.wav,Far too loud,decrease,volume,none
wavs/speakers/YbmvamEWQ8faDPx2/771995a0-45ea-11e9-b578-494a5b19ab8b.wav,Volume max,increase,volume,none
wavs/speakers/5BEzPgPKe8taG9OB/de78d480-457d-11e9-9600-8f19ade2128c.wav,Turn down the heat,decrease,heat,none
wavs/speakers/Xygv5loxdZtrywr9/15af01f0-4528-11e9-a843-8db76f4b5e29.wav,Turn the temperature up in the bathroom,increase,heat,washroom
wavs/speakers/oXjpaOq4wVUezb3x/0b544990-450f-11e9-9539-7f047cfe24d1.wav,Decrease the volume,decrease,volume,none
wavs/speakers/wa3mwLV3ldIqnGnV/2d8fce00-44d6-11e9-a8b6-e96f2628bf65.wav,Louder phone,increase,volume,none
wavs/speakers/AY5e3mMgZkIyG3Ox/74ad61a0-446b-11e9-beaa-1f3e1eab7bff.wav,Turn up the washroom temperature,increase,heat,washroom
wavs/speakers/W4XOzzNEbrtZz4dW/fdec29f0-44d0-11e9-a8b6-e96f2628bf65.wav,Bring me some juice,bring,juice,none
wavs/speakers/73bEEYMKLwtmVwV43/2f5f0490-452a-11e9-a843-8db76f4b5e29.wav,Decrease the temperature in the washroom,decrease,heat,washroom
wavs/speakers/kNnmb7MdArswxLYw/60a47c40-45f4-11e9-aa19-e96346c3828f.wav,Decrease the heating in the bathroom,decrease,heat,washroom
wavs/speakers/oXjpaOq4wVUezb3x/3b1e41b0-4511-11e9-9539-7f047cfe24d1.wav,Turn volume down,decrease,volume,none
wavs/speakers/d3erpmyk9yFlVyrZ/99c2bd70-4608-11e9-bc65-55b32b211b66.wav,Less heat,decrease,heat,none
wavs/speakers/neaPN7GbBEUex8rV/f3cdfd50-45d3-11e9-9992-dfba019cb646.wav,Switch on the lights,activate,lights,none
wavs/speakers/wa3mwLV3ldIqnGnV/1db2b4f0-44d3-11e9-a8b6-e96f2628bf65.wav,Switch on the lights in the kitchen,activate,lights,kitchen
wavs/speakers/xEYa2wgAQof3wyEO/e37ac2c0-4534-11e9-b1e4-e5985dca719e.wav,Get me some juice,bring,juice,none
wavs/speakers/oXjpaOq4wVUezb3x/61d6abd0-4511-11e9-9539-7f047cfe24d1.wav,Could you increase the heating please?,increase,heat,none
wavs/speakers/R3mXwwoaX9IoRVKe/0e48f6b0-454a-11e9-aa52-bf2189a03a60.wav,"It’s too loud, turn the volume down",decrease,volume,none
wavs/speakers/2ojo7YRL7Gck83Z3/cebd6e70-45e1-11e9-81ce-69b74fd7e64e.wav,Turn the bathroom lights on,activate,lights,washroom
wavs/speakers/G3QxQd7qGRuXAZda/71a37350-45e7-11e9-b578-494a5b19ab8b.wav,Turn the temperature down in the washroom,decrease,heat,washroom
wavs/speakers/zZezMeg5XvcbRdg3/f7eae650-45d8-11e9-81ce-69b74fd7e64e.wav,Set my device to Chinese,change language,Chinese,none
wavs/speakers/7NEaXjeLX3sg3yDB/07ca4bc0-454c-11e9-aa52-bf2189a03a60.wav,Heat down,decrease,heat,none
wavs/speakers/KqDyvgWm4Wh8ZDM7/32344ca0-44d2-11e9-a8b6-e96f2628bf65.wav,Increase the heating in the kitchen,increase,heat,kitchen
wavs/speakers/G3QxQd7qGRuXAZda/43a60100-45e9-11e9-b578-494a5b19ab8b.wav,Heat up,increase,heat,none
wavs/speakers/zZezMeg5XvcbRdg3/9ac33090-45d3-11e9-9992-dfba019cb646.wav,Switch on the lights,activate,lights,none
wavs/speakers/DMApMRmGq5hjkyvX/5eb14880-45d8-11e9-81ce-69b74fd7e64e.wav,Turn up the temperature in the kitchen,increase,heat,kitchen
wavs/speakers/xRQE5VD7rRHVdyvM/ea67a850-45c0-11e9-8ec0-7bf21d1cfe30.wav,Bedroom lights off,deactivate,lights,bedroom
wavs/speakers/9EWlVBQo9rtqRYdy/1ae20b40-45f0-11e9-aa19-e96346c3828f.wav,Decrease the heating in the kitchen,decrease,heat,kitchen
wavs/speakers/d3erpmyk9yFlVyrZ/6c3181d0-4607-11e9-bc65-55b32b211b66.wav,Turn the sound up,increase,volume,none
wavs/speakers/neaPN7GbBEUex8rV/3b58a800-45d4-11e9-9992-dfba019cb646.wav,Put on the music,activate,music,none
wavs/speakers/Gym5dABePPHA8mZK9/126f38d0-45ef-11e9-aa19-e96346c3828f.wav,Turn up the temperature in the bedroom,increase,heat,bedroom
wavs/speakers/Z7BXPnplxGUjZdmBZ/2e899ee0-44f8-11e9-a1ea-79ca03012c0e.wav,Decrease the temperature,decrease,heat,none
wavs/speakers/kxgXN97ALmHbaezp/32904000-4469-11e9-beaa-1f3e1eab7bff.wav,I need to practice my Chinese. Switch the language,change language,Chinese,none
wavs/speakers/Z7BXPnplxGUjZdmBZ/18b4a1a0-44f8-11e9-a1ea-79ca03012c0e.wav,Increase the heating in the washroom,increase,heat,washroom
wavs/speakers/d2waAp3pEjiWgrDEY/319184b0-4519-11e9-9035-7943ec3b842a.wav,Switch off the lamp,deactivate,lamp,none
wavs/speakers/9mYN2zmq7aTw4Blo/27fe7210-4450-11e9-beaa-1f3e1eab7bff.wav,Volume lower,decrease,volume,none
wavs/speakers/5o9BvRGEGvhaeBwA/3ec80c70-44e8-11e9-a1ea-79ca03012c0e.wav,Volume down,decrease,volume,none
wavs/speakers/ObdQbr9wyDfbmW4E/653d2b40-4454-11e9-beaa-1f3e1eab7bff.wav,Turn the bedroom heat up,increase,heat,bedroom
wavs/speakers/EExgNZ9dvgTE3928/c13b6620-460f-11e9-bc65-55b32b211b66.wav,Switch the lights off in the kitchen,deactivate,lights,kitchen
wavs/speakers/anvKyBjB5OiP5dYZ/3ab1f770-4576-11e9-9600-8f19ade2128c.wav,Lights on in the bedroom,activate,lights,bedroom
wavs/speakers/BvyakyrDmQfWEABb/ec7102b0-4609-11e9-bc65-55b32b211b66.wav,Turn the kitchen temperature down,decrease,heat,kitchen
wavs/speakers/G3QxQd7qGRuXAZda/1979d440-45e6-11e9-b578-494a5b19ab8b.wav,Switch the kitchen lights on,activate,lights,kitchen
wavs/speakers/BvyakyrDmQfWEABb/965a01e0-4606-11e9-bc65-55b32b211b66.wav,Change the language,change language,none,none
wavs/speakers/2ojo7YRL7Gck83Z3/fb90dfb0-45df-11e9-81ce-69b74fd7e64e.wav,Turn down the heat in the kitchen,decrease,heat,kitchen
wavs/speakers/kxgXN97ALmHbaezp/0c5280f0-4465-11e9-beaa-1f3e1eab7bff.wav,Far too loud,decrease,volume,none
wavs/speakers/R3mXwwoaX9IoRVKe/0af0c6d0-4551-11e9-aa52-bf2189a03a60.wav,Turn the kitchen temperature up,increase,heat,kitchen
wavs/speakers/BvyakyrDmQfWEABb/efd87800-4606-11e9-bc65-55b32b211b66.wav,Turn the volume up,increase,volume,none
wavs/speakers/xRQE5VD7rRHVdyvM/a193a2d0-45c2-11e9-8ec0-7bf21d1cfe30.wav,Increase the heating,increase,heat,none
wavs/speakers/jgxq52DoPpsR9ZRx/033dbc60-4518-11e9-9035-7943ec3b842a.wav,I can't hear that,increase,volume,none
wavs/speakers/WYmlNV2rDkSaALOE/69ce83f0-4438-11e9-beaa-1f3e1eab7bff.wav,Bring shoes,bring,shoes,none
wavs/speakers/W4XOzzNEbrtZz4dW/726daf90-44d3-11e9-a8b6-e96f2628bf65.wav,Kitchen heat down,decrease,heat,kitchen
wavs/speakers/Rq9EA8dEeZcEwada2/3d893f70-45db-11e9-81ce-69b74fd7e64e.wav,Switch off the lamp,deactivate,lamp,none
wavs/speakers/xwpvGaaWl5c3G5N3/a4b20ff0-45b9-11e9-8ec0-7bf21d1cfe30.wav,Washroom heat up,increase,heat,washroom
wavs/speakers/G3QxQd7qGRuXAZda/39143110-45e6-11e9-b578-494a5b19ab8b.wav,Washroom lights on,activate,lights,washroom
wavs/speakers/xwzgmmv5ZOiVaxXz/8aa37300-453d-11e9-b1e4-e5985dca719e.wav,Bring juice,bring,juice,none
wavs/speakers/5BEzPgPKe8taG9OB/876a6210-457f-11e9-9600-8f19ade2128c.wav,Set the language,change language,none,none
wavs/speakers/n5XllaB4gZFwZXkBz/621870e0-45ef-11e9-aa19-e96346c3828f.wav,Increase the volume,increase,volume,none
wavs/speakers/W4XOzzNEbrtZz4dW/20c10330-44cf-11e9-a8b6-e96f2628bf65.wav,Lights on in the kitchen,activate,lights,kitchen
wavs/speakers/xEYa2wgAQof3wyEO/240dc950-4534-11e9-b1e4-e5985dca719e.wav,Turn the temperature down in the washroom,decrease,heat,washroom
wavs/speakers/DMApMRmGq5hjkyvX/1dc8eea0-45dc-11e9-81ce-69b74fd7e64e.wav,Turn down the heat in the bathroom,decrease,heat,washroom
wavs/speakers/NWAAAQQZDXC5b9Mk/2df050e0-444f-11e9-beaa-1f3e1eab7bff.wav,Kitchen lights off,deactivate,lights,kitchen
wavs/speakers/G3QxQd7qGRuXAZda/d5a1a2e0-45e8-11e9-b578-494a5b19ab8b.wav,Bedroom lights off,deactivate,lights,bedroom
wavs/speakers/g2dnA9Wpvzi2WAmZ/0a429100-4547-11e9-aa52-bf2189a03a60.wav,Switch the lights on,activate,lights,none
wavs/speakers/AY5e3mMgZkIyG3Ox/d3553670-446a-11e9-beaa-1f3e1eab7bff.wav,Turn off the lights in the bedroom,deactivate,lights,bedroom
wavs/speakers/73bEEYMKLwtmVwV43/d5bd5230-452d-11e9-b1e4-e5985dca719e.wav,Increase the heating in the bedroom,increase,heat,bedroom
wavs/speakers/oXjpaOq4wVUezb3x/b6ca0670-450f-11e9-9539-7f047cfe24d1.wav,Decrease the temperature in the kitchen,decrease,heat,kitchen
wavs/speakers/Gym5dABePPHA8mZK9/484a1b60-45ee-11e9-aa19-e96346c3828f.wav,Kitchen lights on,activate,lights,kitchen
wavs/speakers/73bEEYMKLwtmVwV43/1eb56f90-452e-11e9-b1e4-e5985dca719e.wav,Turn down the heat in the kitchen,decrease,heat,kitchen
wavs/speakers/NWAAAQQZDXC5b9Mk/cdff9340-444d-11e9-beaa-1f3e1eab7bff.wav,Get me some juice,bring,juice,none
wavs/speakers/52XVOeXMXYuaElyw/d239f460-45c8-11e9-8ec0-7bf21d1cfe30.wav,Turn on the lamp,activate,lamp,none
wavs/speakers/zwKdl7Z2VRudGj2L/58254ca0-4515-11e9-9035-7943ec3b842a.wav,Bathroom lights on,activate,lights,washroom
wavs/speakers/NWAAAQQZDXC5b9Mk/133b9a60-444b-11e9-beaa-1f3e1eab7bff.wav,Turn the volume up,increase,volume,none
wavs/speakers/73bEEYMKLwtmVwV43/7df24350-452b-11e9-a843-8db76f4b5e29.wav,Switch off the lights,deactivate,lights,none
wavs/speakers/ObdQbr9wyDfbmW4E/99771f20-443f-11e9-beaa-1f3e1eab7bff.wav,Turn on the kitchen lights,activate,lights,kitchen
wavs/speakers/ObdQbr9wyDfbmW4E/14c139e0-4454-11e9-beaa-1f3e1eab7bff.wav,"This video sound is too low, turn up the volume",increase,volume,none
wavs/speakers/mor8vDGkaOHzLLWBp/fade8740-453d-11e9-b1e4-e5985dca719e.wav,Switch on the bathroom lights,activate,lights,washroom
wavs/speakers/zZezMeg5XvcbRdg3/ed45f800-45df-11e9-81ce-69b74fd7e64e.wav,Play music,activate,music,none
wavs/speakers/DWmlpyg93YCXAXgE/ce8d2e30-4506-11e9-a1ea-79ca03012c0e.wav,Switch on the kitchen lights,activate,lights,kitchen
wavs/speakers/mor8vDGkaOHzLLWBp/d8613950-453e-11e9-b1e4-e5985dca719e.wav,Turn the heat down in the kitchen,decrease,heat,kitchen
wavs/speakers/xEYa2wgAQof3wyEO/b32dbe50-453a-11e9-b1e4-e5985dca719e.wav,Go get me my shoes,bring,shoes,none
wavs/speakers/d2waAp3pEjiWgrDEY/1bf61990-450f-11e9-9539-7f047cfe24d1.wav,Turn the volume down,decrease,volume,none
wavs/speakers/M4ybygBlWqImBn9oZ/241ac2d0-454e-11e9-aa52-bf2189a03a60.wav,Kitchen lights off,deactivate,lights,kitchen
wavs/speakers/zZezMeg5XvcbRdg3/53db0dd0-45db-11e9-81ce-69b74fd7e64e.wav,Decrease the volume,decrease,volume,none
wavs/speakers/WYmlNV2rDkSaALOE/add7f720-4438-11e9-beaa-1f3e1eab7bff.wav,I need to practice my English. Switch the language,change language,English,none
wavs/speakers/5o9BvRGEGvhaeBwA/35fecde0-44ed-11e9-a1ea-79ca03012c0e.wav,Turn volume down,decrease,volume,none
wavs/speakers/EExgNZ9dvgTE3928/0142bc90-4611-11e9-bc65-55b32b211b66.wav,Decrease the temperature in the kitchen,decrease,heat,kitchen
